country,year,CO2_per_capita,ICT_exports,Internet_users,Mobile_subs,GDP_per_capita,GDP_growth,Trade_openness,Gross_investment,Inflation,Energy_use,Renewable_energy,Electricity_access,Industry_VA,Manufacturing,Services,Agriculture,Population,Urban_pop,Tertiary_enroll,Forest_area,OECD
ESP,2015,153.54906716246,9.98153438413855,78.6896,109.391,25982.4416197775,4.06086672473866,63.5820412248232,19.3734408230247,-0.500365709903242,2552.40125248088,16.3,100.0,19.9230622051822,11.0137685905408,68.2307802691903,2.72327046339292,46422303.0,79.2454892743023,88.5742492675781,37.1275324670126,1
ESP,2016,148.42441512786,9.95251247370644,80.5613,110.247,26755.6061149398,2.91515598595787,63.1886778507294,19.0611122143393,-0.202598000426452,2563.00704379932,16.7,100.0,19.7937250159622,10.9527706513192,68.1684323760182,2.81522075003094,46458139.0,79.3615955277997,89.8067779541016,37.142868581403,1
ESP,2017,107.648246385551,9.59642965343219,84.6022,112.03,28381.3425596906,2.89604207865007,66.167446137857,19.5656670290524,1.95607633363963,2690.49733287835,15.2,100.0,19.9047199031815,11.1145583338461,67.9841610086631,2.80344676690393,46571232.0,79.4663233085683,91.8877410888672,37.1522339173654,1
ESP,2018,104.753498088384,10.034110960445,86.1072,115.009,30602.4212881113,2.39541124478878,67.0094103982921,20.7061758213476,1.6749813686379,2666.26079715432,16.9,100.0,19.7385743840512,10.7886322916564,68.1207909749925,2.70128254621885,46782011.0,79.5580057813361,92.1748886108398,37.1566467814769,1
ESP,2019,66.511098424084,10.3126532764611,90.7187,116.696,29786.5245689007,1.96117850841711,66.3662250440692,20.9088226144802,0.699518994458739,2573.90442450746,16.7,100.0,19.9779055762497,10.6967320991298,68.2703336497276,2.51980122994951,47118501.0,79.6349761108307,91.020263671875,37.1677215644695,1
ESP,2020,34.2367565697128,14.1649411078293,93.2056,116.712,27233.9426461608,-10.9400706350371,59.4461280147076,20.6266482703898,-0.322753017299739,2303.51311623486,19.3,100.0,20.1193927811735,10.853212942808,68.3951846151394,2.78468031745976,47359424.0,79.6955674617799,90.9548492431641,37.1773054885498,1
ESP,2021,,13.1709695891431,93.8975,119.0,30799.4775937775,6.68314420473001,66.524588943191,21.8740337716536,3.0931351197642,2422.46704705393,19.0,100.0,20.3165748530524,11.2560847091885,67.4549201359154,2.76824927112995,47443821.0,79.7846242983598,94.5903778076172,37.1727521093233,1
ESP,2022,,10.4976449019928,94.4855,123.4,30319.4987196616,6.37031712129601,78.4657338703054,22.6896137188078,8.39057634118627,2408.92811488939,,100.0,21.2234793725829,11.0279875249207,67.6016434775846,2.36964000049424,47786102.0,79.9548794567814,94.5131072998047,37.1827922798055,1
FIN,2000,1101.85612486087,4.87445871977671,37.2485,72.034,24335.9225082659,5.75373770498848,74.9255788717317,23.8741513058525,3.04210080667795,6257.21912070832,31.7,100.0,31.6029504494596,24.1601044095435,52.9328523455487,2.95484873814028,5176209.0,67.1227685349539,82.5875015258789,73.6913227617453,1
FIN,2001,1164.87561621679,5.40704940618213,43.1054,80.4859,24965.202996776,2.64026205699308,70.2841376639721,23.1797971136758,2.57844080098896,6405.85272256556,29.2,100.0,30.9494996991972,23.6043785828383,54.3049380069565,2.76462005490516,5188008.0,67.4982392821958,85.9510498046875,73.6244656751699,1
FIN,2002,1247.46680524513,10.7856343165621,62.43,86.8519,26989.389260959,1.68732644358099,69.3209377526273,22.0594179466451,1.5712201278938,6722.82613567459,29.5,100.0,30.1192400970089,22.8745621126381,54.9009700889248,2.67313392616545,5200598.0,67.7951641569199,86.788932800293,73.5576085885945,1
FIN,2003,1372.27883991083,9.61465474122079,69.22,91.064,32920.0857192568,2.01179992738312,68.0715029595159,22.231962772058,0.877440386254785,7072.1791412038,28.4,100.0,29.5358371673016,21.952489552711,55.1893694715056,2.53635129256364,5213014.0,68.0425549126858,88.286979675293,73.4907515020191,1
FIN,2004,1297.1604193624,10.2388178615969,72.39,95.4066,37768.1334202029,4.00537952277651,70.967802899062,22.8724778097656,0.187120559084418,7128.99567069435,31.1,100.0,29.3761536087085,21.5451584656768,55.8179676328107,2.37997744754033,5228172.0,68.2766596767133,90.1379318237305,73.4238944154437,1
FIN,2005,1023.32871452121,14.0483959675577,74.48,100.456,39049.8703780223,2.77730918518017,76.5889740444293,24.6073870744416,0.623874450025191,6555.77647291287,31.5,100.0,29.2555840307046,21.2181020975793,55.8548820035709,2.27855173502727,5246096.0,68.5140529517604,91.9409408569336,73.3570373288683,1
FIN,2006,1208.84669819138,14.5372874808915,79.66,107.667,41214.0187765069,4.01957326515895,82.0005669294983,24.0013652587917,1.56666380704386,7106.70978937984,31.2,100.0,30.2474242310296,21.8152156935341,54.9435673749429,2.00160822857672,5266268.0,68.7588279849327,93.4309921264648,73.4058597218112,1
FIN,2007,1140.83438939052,14.6654793755656,80.78,114.962,48473.0240091455,5.31280176694145,82.8631608209175,25.5534350124827,2.5106656524034,6968.91134494832,31.8,100.0,30.6721408753388,22.1315200017107,54.6891622429287,2.38053234540974,5288720.0,69.0200377316963,95.0834808349609,73.3437206090302,1
FIN,2008,958.632390753049,35.9400022296899,83.67,128.543,53769.4726240385,0.784431235717051,86.1896598765527,25.2485161104333,4.06595355358379,6654.45363101075,34.6,100.0,29.5650517623923,20.7904125032818,56.2220403288495,2.20537134561628,5313399.0,69.2943672196361,95.8668518066406,73.3225666337611,1
FIN,2009,840.622949349564,35.6833226309379,82.49,144.226,47478.3495310999,-8.07603116552393,70.1279335295898,21.4741244119185,-9.17360384430342e-07,6255.05051638905,32.5,100.0,25.6620904063609,16.6698764684843,59.6038187470768,2.25383112774094,5338871.0,69.546259966947,92.0154724121094,73.2555577492596,1
FIN,2010,937.741257348402,31.6446806050165,86.89,156.432,46506.2919016566,3.1682879121621,75.4612085231229,22.6073229974435,1.18413523154646,6812.6019950935,33.4,100.0,26.1853763280839,17.0393362636662,58.9677220471227,2.36676641136983,5363352.0,69.7855798796947,93.1867599487305,73.1885488647581,1
FIN,2011,728.155528111506,28.4398038554113,88.71,165.917,51060.3242589767,2.39039455396828,78.7159444486606,24.3388732893172,3.41680754255211,6522.93869318769,35.1,100.0,25.0390832511194,16.355265487845,59.3372290101439,2.25898661809719,5388272.0,70.0583261874252,93.2884292602539,73.3008654447333,1
FIN,2012,553.853194705878,25.7088479660065,89.88,172.147,47551.6740841369,-1.52284013040689,79.4303765882482,23.628342432802,2.80833622561574,6265.77228948066,38.7,100.0,23.3588517701544,14.5954146662807,60.7916038686882,2.18836399205502,5413971.0,70.3661363168712,91.5533828735352,73.4107736351969,1
FIN,2013,538.351948586603,27.1455916999094,91.5144,136.259,49691.0145200739,-0.979741024949618,77.485171771574,22.6578278795265,1.4782861568881,6138.31405576065,38.5,100.0,23.2981321591964,14.6434591173334,60.5650206145545,2.21182621856833,5438972.0,70.6742118159277,91.2365264892578,73.5206818256606,1
FIN,2014,446.277355316559,33.1156879265203,86.5304,139.199,50073.7760815871,-0.4780684247837,74.6277719754196,22.1690024531831,1.04119621178439,6246.04153603753,41.2,100.0,23.0618639333511,14.6025114765247,60.8821743460203,2.21758033567317,5461512.0,70.9879168940753,89.9938812255859,73.6305900161243,1
FIN,2015,218.449435869474,34.0343753139937,86.4221,134.974,42560.3456767103,0.466503766322674,71.9618253787014,21.9056862297328,-0.207928839905268,5921.59681653244,43.2,100.0,23.3039316434498,14.8411928141889,60.9404734718733,2.06049706934612,5479531.0,71.3054930040604,89.6573791503906,73.7356454213418,1
FIN,2016,233.144055942276,30.6355280639736,87.7036,131.383,43451.2562442158,2.57193414898754,71.7222101178859,23.5883124649425,0.356684500891695,6120.63301519281,42.4,100.0,23.4765920163918,14.7475627790114,60.4690404557823,2.08977502932082,5495303.0,71.6158383428171,89.3280029296875,73.7356454213418,1
FIN,2017,148.37451882426,27.1270153378112,87.4689,129.983,46085.0174739036,3.30337003591039,75.9387822310041,24.309542246313,0.754015047084346,6070.15750826277,44.4,100.0,24.4706416384075,15.3743113223501,59.8466440593487,2.06803556647353,5508214.0,71.9563038312956,90.6983871459961,73.7332192682285,1
FIN,2018,153.063454036419,26.1492934094924,88.89,129.629,49654.2497035329,1.19297759742292,79.1436148422846,25.7234643496259,1.08382098409305,6165.44402350648,44.2,100.0,24.1107349992454,14.7901080183696,59.9098768892434,2.11422780880102,5515525.0,72.3423467740343,92.3850021362305,73.7332192682285,1
FIN,2019,96.2480112376527,32.5046739042875,89.6074,129.488,48358.1807773701,1.34973845741737,80.5641502947367,24.5675378797407,1.02409392963431,6024.65366583164,45.4,100.0,24.1466052876512,14.7120972002113,60.0093074736498,2.18977184111891,5521606.0,72.7431214358314,94.5891189575195,73.7307932747672,1
